Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
10-11-2018,Thu,Friendlies (M),Friendlies (M),Home,L 2–4,us United States,co Colombia,Y,DM,90,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
10-11-2018,Thu,Friendlies (M),Friendlies (M),Home,L 2–4,us United States,co Colombia,Y,AM,67,0.0,1.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
10-11-2018,Thu,Friendlies (M),Friendlies (M),Home,L 2–4,us United States,co Colombia,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2018,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,us United States,eng England,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2018,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,us United States,eng England,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2018,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,us United States,eng England,Y,DM,75,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2018,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,us United States,eng England,Y,AM,75,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2018,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,us United States,eng England,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2018,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,us United States,eng England,Y,AM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2018,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,us United States,eng England,N,,21,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2018,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,us United States,eng England,N,,29,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
15-11-2018,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,us United States,eng England,N,,3,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,Y,GK,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,Y,LW,90,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,Y,AM,82,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,Y,FW,61,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,Y*,FW,82,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2018,Tue,Friendlies (M),Friendlies (M),Away,L 0–1,us United States,it Italy,Y,DM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2019,Sun,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,pa Panama,N,,17,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2019,Sun,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,pa Panama,Y,CM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2019,Sun,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,pa Panama,Y*,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27-01-2019,Sun,Friendlies (M),Friendlies (M),Home,W 3–0,us United States,pa Panama,Y,CB,90,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2019,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,us United States,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2019,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,us United States,cr Costa Rica,Y,CM,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2019,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,us United States,cr Costa Rica,Y*,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
02-02-2019,Sat,Friendlies (M),Friendlies (M),Home,W 2–0,us United States,cr Costa Rica,Y,CB,90,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
07-03-2019,Wed,Gold Cup,Semi-finals,Away,W 3–1,us United States,jm Jamaica,Y,CM,90,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,,,,,,0.0,,,,Match Report,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,
07-03-2019,Wed,Gold Cup,Semi-finals,Away,W 3–1,us United States,jm Jamaica,Y*,LB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,Match Report,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,
07-03-2019,Wed,Gold Cup,Semi-finals,Away,W 3–1,us United States,jm Jamaica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,
07-03-2019,Wed,Gold Cup,Semi-finals,Away,W 3–1,us United States,jm Jamaica,Y,CM,90,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,,,,,2.0,,,,Match Report,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,
07-03-2019,Wed,Gold Cup,Semi-finals,Away,W 3–1,us United States,jm Jamaica,Y,CB,90,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,,,Match Report,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,
07-03-2019,Wed,Gold Cup,Semi-finals,Away,W 3–1,us United States,jm Jamaica,Y,FW,69,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,0.0,,,,Match Report,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,
07-03-2019,Wed,Gold Cup,Semi-finals,Away,W 3–1,us United States,jm Jamaica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,
07-03-2019,Wed,Gold Cup,Semi-finals,Away,W 3–1,us United States,jm Jamaica,N,,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,Match Report,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,ec Ecuador,Y,RB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
21-03-2019,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,us United States,ec Ecuador,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
