Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Defensive Tkl,Defensive TklW,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,Y,CM,83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,Y,CB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,Match Report,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,N,,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,Y,CM,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,Y,GK,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,N,,45,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0,,,,,,,,,,,,,Match Report,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,Y,FW,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,1.0,3.0,1.0,0.0,0.0,0.0,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,Y,LB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,N,,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,Match Report,,,,,,,,,,0.0,,,,,,,1.0,,,
29-01-2022,Sat,Africa Cup of Nations,Quarter-finals,Neutral,L 0–1,tn Tunisia,bf Burkina Faso,Y,CB,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,Match Report,,,,,,,,,,0.0,,,,,,,1.0,,,
06-02-2022,Thu,Africa Cup of Nations qualification,Group stage,Home,W 4–0,tn Tunisia,gq Equ. Guinea,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-02-2022,Thu,Africa Cup of Nations qualification,Group stage,Home,W 4–0,tn Tunisia,gq Equ. Guinea,Y,RB,65,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-02-2022,Thu,Africa Cup of Nations qualification,Group stage,Home,W 4–0,tn Tunisia,gq Equ. Guinea,Y,CB,90,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,0.0,,,,,,,,,,,,,,
06-02-2022,Thu,Africa Cup of Nations qualification,Group stage,Home,W 4–0,tn Tunisia,gq Equ. Guinea,Y,FW,87,1.0,2.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-02-2022,Thu,Africa Cup of Nations qualification,Group stage,Home,W 4–0,tn Tunisia,gq Equ. Guinea,N,,25,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
06-02-2022,Thu,Africa Cup of Nations qualification,Group stage,Home,W 4–0,tn Tunisia,gq Equ. Guinea,Y,CM,74,0.0,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,
