Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,N,FW,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,LM,52,,,,,,,,,,,,,,,,,Match Report
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,FW,89,,,,,,,,,,,,,,,,,Match Report
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,N,,27,,,,,,,,,,,,,,,,,Match Report
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,RM,90,,,,,,,,,,,,,,,,,Match Report
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y*,FW,90,,,,,,,,,,,,,,,,,Match Report
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,CM,63,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,N,,16,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y,CM,90,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y*,FW,90,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,N,,6,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y,FW,90,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y,FW,90,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y,CB,90,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y,RB,84,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y,GK,90,,,,,,,,,,,,,,,,,Match Report
15-10-2018,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
07-11-2018,Wed,FIFA World Cup,Semi-finals,Neutral,L 1–2,eng England,hr Croatia,Y,CB,111,3,2,3,0,0,1,1,100,0,1,1,0,0,3,15,0,Match Report
07-11-2018,Wed,FIFA World Cup,Semi-finals,Neutral,L 1–2,eng England,hr Croatia,Y,GK,120,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
07-11-2018,Wed,FIFA World Cup,Semi-finals,Neutral,L 1–2,eng England,hr Croatia,Y,DM,96,1,1,0,1,0,0,1,0,1,2,1,1,0,1,1,0,Match Report
07-11-2018,Wed,FIFA World Cup,Semi-finals,Neutral,L 1–2,eng England,hr Croatia,Y,"CB,RB",120,2,2,1,1,0,1,1,100,0,1,1,0,2,4,11,0,Match Report
07-11-2018,Wed,FIFA World Cup,Semi-finals,Neutral,L 1–2,eng England,hr Croatia,Y,FW,73,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
07-11-2018,Wed,FIFA World Cup,Semi-finals,Neutral,L 1–2,eng England,hr Croatia,N,"DM,CB",24,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,Match Report
