Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
06-07-2019,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–1,es Spain,fo Faroe Islands,Y,FW,90,,1,,,,,,,,,,,0,,,,Match Report
06-07-2019,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–1,es Spain,fo Faroe Islands,Y,CM,90,,2,,,,,,,,,,,2,,,,Match Report
06-07-2019,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–1,es Spain,fo Faroe Islands,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-07-2019,Fri,UEFA Euro Qualifying,Group stage,Away,W 4–1,es Spain,fo Faroe Islands,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-08-2019,Sun,UEFA Euro Qualifying,Group stage,Home,W 4–0,es Spain,fo Faroe Islands,Y,CM,90,,2,,,,,,,,,,,0,,,,Match Report
09-08-2019,Sun,UEFA Euro Qualifying,Group stage,Home,W 4–0,es Spain,fo Faroe Islands,Y,LB,90,,0,,,,,,,,,,,0,,,,Match Report
09-08-2019,Sun,UEFA Euro Qualifying,Group stage,Home,W 4–0,es Spain,fo Faroe Islands,Y,RB,90,,1,,,,,,,,,,,0,,,,Match Report
09-08-2019,Sun,UEFA Euro Qualifying,Group stage,Home,W 4–0,es Spain,fo Faroe Islands,N,,23,,0,,,,,,,,,,,0,,,,Match Report
09-08-2019,Sun,UEFA Euro Qualifying,Group stage,Home,W 4–0,es Spain,fo Faroe Islands,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
09-08-2019,Sun,UEFA Euro Qualifying,Group stage,Home,W 4–0,es Spain,fo Faroe Islands,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-10-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,es Spain,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
