Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
14-11-2020,Sat,UEFA Nations League,League A,Away,D 1–1,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-11-2020,Sat,UEFA Nations League,League A,Away,D 1–1,es Spain,ch Switzerland,N,,35,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
14-11-2020,Sat,UEFA Nations League,League A,Away,D 1–1,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-11-2020,Sat,UEFA Nations League,League A,Away,D 1–1,es Spain,ch Switzerland,Y,CB,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,Match Report,,,,,,,,
14-11-2020,Sat,UEFA Nations League,League A,Away,D 1–1,es Spain,ch Switzerland,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
14-11-2020,Sat,UEFA Nations League,League A,Away,D 1–1,es Spain,ch Switzerland,Y,DM,72,0,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,Match Report,,,,,,,,
14-11-2020,Sat,UEFA Nations League,League A,Away,D 1–1,es Spain,ch Switzerland,Y,AM,90,0,0,0,0,2,0,0,0,,,2,,,,,,,,,,,,,Match Report,,,,,,,,
14-11-2020,Sat,UEFA Nations League,League A,Away,D 1–1,es Spain,ch Switzerland,N,,18,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,Y,AM,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,Y,AM,72,3,0,0,0,7,4,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,Y,DM,90,1,0,0,0,3,1,0,0,,,2,,,,,,,,,,,,,Match Report,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,N,,48,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,Match Report,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,N,,18,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,Match Report,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,Y,FW,72,1,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,Y,LB,90,0,2,0,0,0,0,0,0,,,1,,,,,,,,,,,,,Match Report,,,,,,,,
17-11-2020,Tue,UEFA Nations League,League A,Home,W 6–0,es Spain,de Germany,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,LB,120,0,0,0,0,2,1,0,0,135,1,0,1,0.1,0.1,0.8,6,0,117,130,90,4,0,2,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,CB,112,0,0,0,0,1,0,0,0,160,1,0,2,0.2,0.2,0,1,0,144,152,94.7,7,0,0,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,GK,120,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,44,46,95.7,0,0,0,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,RB,120,0,0,0,0,1,1,0,0,99,0,0,0,0.3,0.3,0.1,2,0,87,93,93.5,3,0,0,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,N,RM,31,0,0,0,0,3,1,0,0,23,0,0,0,0.3,0.3,0.2,6,0,15,16,93.8,2,1,3,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,N,LM,2,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0,0,0,3,3,100,0,0,0,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,FW,54,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,1,0,18,20,90,1,1,1,Match Report,,,,,,,,
