Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,Y,"FW,RW",78,0,0,0,0,4,1,0,0,,,,,,0,,,,Match Report,46,0,1,0.5,0.5,0,0,0,26,37,70.3,1,4,5
28-06-2018,Thu,FIFA World Cup,Group stage,Neutral,L 0–1,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,,27,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,DM,63,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,,26,0,0,0,0,,,0,0,,,,,,,0,,,Match Report,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y*,DM,63,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,CB,64,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
06-07-2018,Thu,Friendlies (M),Friendlies (M),Home,W 2–0,eng England,cr Costa Rica,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,DM,84,0,0,0,0,1,0,0,0,,,,,,3,,,,Match Report,69,1,2,0,0,0,2,0,41,56,73.2,6,0,1
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y*,FW,90,0,0,0,0,1,0,0,0,,,,,,0,,,,Match Report,28,0,0,0,0,0,1,0,16,20,80,2,1,2
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,CB,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,63,2,0,0,0,0,0,0,49,56,87.5,0,0,0
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,FW,89,0,0,0,0,2,0,0,0,,,,,,0,,,,Match Report,37,0,2,0.2,0.2,0,1,0,19,26,73.1,1,1,4
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,N,DM,6,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,7,0,0,0,0,0,0,0,1,5,20,1,0,0
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,RW,90,0,0,0,0,0,0,0,0,,,,,,2,,,,Match Report,85,2,0,0,0,0,2,1,54,79,68.4,5,0,0
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,CB,90,1,0,0,0,2,1,1,0,,,,,,1,,,,Match Report,65,1,0,0.1,0.1,0.2,2,0,43,51,84.3,4,0,1
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,N,FW,1,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,1,0,0,0,0,0,0,0,1,1,100,0,0,0
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,GK,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,42,0,0,0,0,0,1,0,23,39,59,0,0,0
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,CB,90,0,0,0,0,0,0,0,0,,,,,,1,,,,Match Report,83,1,1,0,0,0,1,0,58,75,77.3,3,2,3
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2018,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
